                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0632,                 3.7874,                 1.4282,                0.11501,                0.38369,                0.15667,                0.11432,                0.92984,                 3.6685,                 1.3817,             0.00020635,             0.00020635,             0.00020635
                      2,                 1.0523,                 2.9515,                 1.3714,                0.30306,                0.54422,                0.34642,                 0.2442,                 1.0081,                 3.4756,                 1.4012,             0.00041058,             0.00041058,             0.00041058
                      3,                 1.0756,                 2.5915,                 1.3503,                0.41164,                 0.6097,                0.47922,                0.34458,                0.98296,                 2.7346,                 1.4001,             0.00061068,             0.00061068,             0.00061068
                      4,                  1.068,                 2.2891,                 1.3223,                0.55709,                0.56372,                0.56767,                0.39412,                   1.06,                 2.6741,                 1.4358,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.0617,                 2.0965,                 1.3129,                0.40016,                0.53386,                0.46775,                0.31828,                 1.1275,                 2.8123,                 1.5151,             0.00060644,             0.00060644,             0.00060644
                      6,                 1.0453,                 1.9631,                 1.2933,                0.54984,                0.69958,                0.68429,                0.50046,                0.91907,                 2.0445,                 1.2865,             0.00060025,             0.00060025,             0.00060025
                      7,                0.98174,                 1.8088,                 1.2463,                0.55078,                0.68017,                0.66434,                 0.4888,                0.92544,                 1.9472,                 1.3031,             0.00059406,             0.00059406,             0.00059406
                      8,                 1.0228,                 1.6913,                  1.266,                0.59526,                0.68801,                0.68388,                0.50269,                0.92469,                 1.7573,                 1.3145,             0.00058787,             0.00058787,             0.00058787
                      9,                0.98883,                 1.6391,                 1.2483,                0.69032,                0.69983,                0.74575,                0.53973,                 0.9198,                 1.5352,                 1.3083,             0.00058169,             0.00058169,             0.00058169
                     10,                0.99869,                 1.5297,                  1.245,                0.72019,                 0.7171,                0.79599,                0.59644,                0.89654,                 1.3824,                 1.2877,              0.0005755,              0.0005755,              0.0005755
                     11,                0.97819,                 1.4206,                  1.242,                0.73927,                0.76004,                 0.8255,                0.61616,                0.91854,                 1.4514,                  1.285,             0.00056931,             0.00056931,             0.00056931
                     12,                0.96052,                 1.4468,                  1.224,                 0.6939,                0.75003,                0.79989,                0.60159,                0.87506,                 1.3518,                 1.2444,             0.00056313,             0.00056313,             0.00056313
                     13,                0.95293,                 1.3236,                 1.2237,                0.73775,                0.76609,                0.84557,                0.62932,                0.89724,                 1.2631,                  1.267,             0.00055694,             0.00055694,             0.00055694
                     14,                0.93993,                 1.2992,                 1.2225,                0.78421,                0.77674,                 0.8559,                0.63744,                0.92433,                 1.1179,                 1.2809,             0.00055075,             0.00055075,             0.00055075
                     15,                0.93949,                 1.2309,                 1.2025,                0.79257,                 0.7828,                0.85747,                0.64332,                0.87686,                 1.1146,                 1.2322,             0.00054456,             0.00054456,             0.00054456
                     16,                0.93996,                 1.2036,                 1.2083,                0.79573,                0.75526,                0.83525,                0.63463,                0.87432,                 1.1232,                 1.2465,             0.00053838,             0.00053838,             0.00053838
                     17,                0.94607,                 1.1588,                 1.2106,                0.80808,                0.77087,                0.86762,                0.66602,                0.86043,                 1.0566,                 1.2163,             0.00053219,             0.00053219,             0.00053219
                     18,                0.93935,                 1.1691,                 1.2006,                0.82636,                0.73919,                0.87397,                0.66205,                0.88258,                 1.0669,                 1.2476,               0.000526,               0.000526,               0.000526
                     19,                 0.9144,                 1.1276,                 1.2003,                  0.889,                0.79474,                0.88972,                0.69216,                0.83672,                 0.8947,                 1.2015,             0.00051981,             0.00051981,             0.00051981
                     20,                0.91739,                 1.0821,                 1.1941,                0.80429,                0.82366,                0.87397,                0.65675,                0.89364,                 1.0454,                 1.2506,             0.00051363,             0.00051363,             0.00051363
                     21,                0.94018,                 1.0971,                 1.2008,                0.71796,                0.79892,                0.80641,                0.61768,                0.86153,                 1.0974,                 1.2108,             0.00050744,             0.00050744,             0.00050744
                     22,                0.90115,                 1.0562,                 1.1792,                0.84164,                0.80095,                0.88889,                0.69314,                0.84126,                0.89889,                 1.2119,             0.00050125,             0.00050125,             0.00050125
                     23,                0.89619,                 1.0624,                 1.1927,                 0.8829,                 0.7843,                0.89924,                0.69157,                0.84564,                0.85888,                 1.2076,             0.00049506,             0.00049506,             0.00049506
                     24,                0.88717,                0.97705,                 1.1737,                0.82837,                0.83918,                0.90053,                0.70032,                0.83383,                 0.8512,                 1.2001,             0.00048888,             0.00048888,             0.00048888
                     25,                0.88038,                0.94128,                 1.1636,                0.81866,                0.81908,                0.86321,                0.65366,                0.88701,                0.91317,                 1.2424,             0.00048269,             0.00048269,             0.00048269
                     26,                0.86739,                0.95521,                   1.17,                0.77578,                 0.8083,                0.86811,                0.67873,                0.78542,                0.94739,                 1.1763,              0.0004765,              0.0004765,              0.0004765
                     27,                0.83991,                0.94742,                 1.1571,                0.82749,                0.79162,                0.88172,                0.68148,                0.80458,                 0.9168,                 1.1941,             0.00047031,             0.00047031,             0.00047031
                     28,                0.86624,                0.91707,                 1.1689,                0.85147,                0.82866,                0.89516,                0.70359,                0.83052,                0.79262,                 1.1962,             0.00046413,             0.00046413,             0.00046413
                     29,                0.87119,                0.93306,                 1.1636,                0.82354,                0.84387,                0.90153,                0.69706,                0.81624,                0.80086,                 1.1981,             0.00045794,             0.00045794,             0.00045794
                     30,                0.86669,                0.92697,                 1.1703,                 0.8542,                0.83656,                0.90825,                0.70999,                 0.8216,                 0.7839,                 1.1949,             0.00045175,             0.00045175,             0.00045175
                     31,                0.86736,                0.89173,                 1.1602,                0.88424,                0.86327,                0.92985,                 0.7365,                0.80544,                0.71147,                 1.1882,             0.00044556,             0.00044556,             0.00044556
                     32,                0.86771,                0.88703,                 1.1597,                0.88833,                0.83856,                 0.9186,                0.71252,                0.84335,                0.74588,                  1.194,             0.00043937,             0.00043937,             0.00043937
                     33,                0.84654,                0.87368,                 1.1559,                0.83905,                0.81898,                0.90571,                0.72111,                0.78265,                 0.8141,                  1.157,             0.00043319,             0.00043319,             0.00043319
                     34,                0.83999,                0.84783,                 1.1502,                0.87131,                0.85095,                0.92154,                0.73227,                 0.7807,                0.68797,                 1.1607,               0.000427,               0.000427,               0.000427
                     35,                0.83756,                0.80038,                 1.1392,                0.81213,                0.83391,                0.90392,                0.71454,                 0.7973,                0.75092,                 1.1785,             0.00042081,             0.00042081,             0.00042081
                     36,                0.84151,                0.85558,                  1.155,                0.90008,                0.80648,                0.90131,                0.70634,                0.82868,                0.73638,                 1.1783,             0.00041462,             0.00041462,             0.00041462
                     37,                0.82542,                0.80119,                 1.1415,                0.86485,                0.81753,                0.90452,                0.71361,                0.79229,                0.74003,                 1.1586,             0.00040844,             0.00040844,             0.00040844
                     38,                0.82686,                0.80328,                 1.1509,                0.86048,                0.88175,                0.92947,                0.73267,                0.78431,                0.66832,                 1.1773,             0.00040225,             0.00040225,             0.00040225
                     39,                0.80851,                0.77837,                 1.1273,                0.86221,                0.84766,                0.91798,                0.71435,                0.82603,                0.71393,                 1.1799,             0.00039606,             0.00039606,             0.00039606
                     40,                0.80617,                0.74902,                 1.1338,                0.83555,                0.82985,                0.90077,                0.70501,                 0.8169,                0.73943,                 1.1799,             0.00038988,             0.00038988,             0.00038988
                     41,                0.80522,                0.76378,                 1.1245,                0.88463,                0.88726,                 0.9375,                0.74557,                0.76666,                0.62722,                 1.1534,             0.00038369,             0.00038369,             0.00038369
                     42,                0.80672,                 0.7585,                 1.1281,                0.87833,                0.83708,                 0.9201,                0.72364,                0.81077,                0.71866,                 1.1716,              0.0003775,              0.0003775,              0.0003775
                     43,                0.80265,                0.77113,                 1.1251,                0.85793,                0.86446,                0.91615,                0.71522,                0.81194,                0.71071,                 1.1857,             0.00037131,             0.00037131,             0.00037131
                     44,                0.78504,                0.73937,                 1.1164,                0.84907,                 0.8712,                0.90807,                0.71899,                0.79632,                0.70654,                 1.1819,             0.00036513,             0.00036513,             0.00036513
                     45,                0.79513,                0.74545,                 1.1228,                0.89508,                0.82058,                0.92667,                0.72603,                0.81778,                0.65474,                 1.1885,             0.00035894,             0.00035894,             0.00035894
                     46,                0.77371,                 0.7158,                 1.1075,                0.91063,                0.83718,                0.93278,                0.73365,                0.79183,                0.65405,                 1.1663,             0.00035275,             0.00035275,             0.00035275
                     47,                0.78953,                0.72053,                 1.1166,                0.89626,                0.83201,                0.93072,                0.74069,                0.78117,                0.64791,                 1.1631,             0.00034656,             0.00034656,             0.00034656
                     48,                0.78692,                0.71816,                 1.1126,                0.92019,                0.85532,                0.93634,                0.74884,                0.76984,                 0.6082,                 1.1551,             0.00034038,             0.00034038,             0.00034038
                     49,                0.77488,                0.71217,                 1.1083,                0.89534,                0.83638,                0.93489,                0.73984,                0.79603,                0.65529,                 1.1649,             0.00033419,             0.00033419,             0.00033419
                     50,                 0.7645,                0.68303,                 1.1028,                0.87826,                0.82117,                 0.9082,                0.71703,                0.79854,                0.71288,                 1.1822,               0.000328,               0.000328,               0.000328
                     51,                0.77006,                 0.6754,                 1.1065,                0.91324,                0.84986,                0.92678,                0.72372,                0.79474,                0.62716,                 1.1749,             0.00032181,             0.00032181,             0.00032181
                     52,                0.75623,                0.66724,                 1.1047,                0.89212,                0.88339,                0.93702,                0.74119,                0.76855,                0.60835,                 1.1541,             0.00031562,             0.00031562,             0.00031562
                     53,                0.78077,                0.67723,                 1.1132,                 0.9303,                0.86941,                0.94201,                 0.7342,                0.81639,                0.57236,                 1.1982,             0.00030944,             0.00030944,             0.00030944
                     54,                 0.7722,                0.68021,                 1.1164,                 0.8742,                0.86166,                0.92836,                0.72572,                0.80015,                0.66314,                 1.1866,             0.00030325,             0.00030325,             0.00030325
                     55,                0.76491,                0.67238,                 1.0993,                0.91096,                0.88614,                0.93744,                0.73286,                0.81424,                0.59838,                 1.2025,             0.00029706,             0.00029706,             0.00029706
                     56,                0.74805,                0.65292,                 1.0896,                0.90233,                0.86787,                0.93679,                0.73657,                0.79967,                0.60761,                 1.1838,             0.00029088,             0.00029088,             0.00029088
                     57,                0.75809,                 0.6823,                 1.1103,                0.89352,                0.87018,                0.92892,                0.73373,                0.78639,                0.61189,                 1.1812,             0.00028469,             0.00028469,             0.00028469
                     58,                0.74691,                0.66055,                  1.103,                0.92032,                0.85126,                0.93741,                0.73703,                0.79767,                0.58389,                 1.1796,              0.0002785,              0.0002785,              0.0002785
                     59,                0.72639,                0.60321,                 1.0825,                0.92042,                0.88145,                0.94781,                0.75154,                 0.7801,                0.56852,                  1.163,             0.00027231,             0.00027231,             0.00027231
                     60,                0.73506,                0.63266,                 1.0874,                 0.9117,                0.85368,                0.93259,                0.74101,                0.77426,                0.58849,                 1.1702,             0.00026613,             0.00026613,             0.00026613
                     61,                 0.7288,                0.64679,                 1.0837,                0.88585,                0.86621,                0.92807,                0.74514,                0.77632,                0.64123,                 1.1543,             0.00025994,             0.00025994,             0.00025994
                     62,                0.71833,                0.61941,                   1.08,                0.92232,                0.84597,                 0.9219,                0.73147,                0.77775,                 0.6091,                  1.167,             0.00025375,             0.00025375,             0.00025375
                     63,                 0.7084,                0.58175,                 1.0792,                0.92951,                0.87843,                0.94558,                0.74924,                 0.7874,                0.56667,                 1.1662,             0.00024756,             0.00024756,             0.00024756
                     64,                 0.6953,                0.58324,                 1.0668,                0.91989,                0.88846,                 0.9465,                0.75521,                0.76267,                0.56191,                 1.1485,             0.00024137,             0.00024137,             0.00024137
                     65,                0.69307,                0.59908,                 1.0616,                 0.9154,                0.90878,                0.94694,                0.74117,                0.79674,                0.55902,                 1.1795,             0.00023519,             0.00023519,             0.00023519
                     66,                0.71831,                0.59674,                 1.0743,                0.92578,                0.85796,                0.93484,                0.74565,                0.77883,                0.57935,                 1.1557,               0.000229,               0.000229,               0.000229
                     67,                0.67885,                0.58879,                 1.0687,                0.90037,                0.88852,                0.92939,                0.73461,                0.79647,                0.59093,                 1.1806,             0.00022281,             0.00022281,             0.00022281
                     68,                0.70209,                 0.5746,                 1.0675,                0.90999,                 0.8888,                 0.9393,                0.74299,                 0.7893,                0.56401,                 1.1771,             0.00021662,             0.00021662,             0.00021662
                     69,                0.69016,                0.56249,                 1.0607,                0.89813,                0.89459,                0.94514,                0.74884,                0.78095,                0.54807,                 1.1769,             0.00021044,             0.00021044,             0.00021044
                     70,                0.69609,                0.59383,                 1.0736,                0.90751,                0.90272,                0.94328,                 0.7482,                0.78585,                0.55908,                 1.1698,             0.00020425,             0.00020425,             0.00020425
                     71,                0.67525,                0.56161,                 1.0604,                0.93192,                0.88952,                0.95154,                0.74982,                 0.7899,                 0.5286,                 1.1744,             0.00019806,             0.00019806,             0.00019806
                     72,                0.66108,                0.53774,                 1.0537,                0.88838,                0.89662,                0.94021,                0.74853,                0.77687,                 0.5711,                 1.1771,             0.00019188,             0.00019188,             0.00019188
                     73,                0.67892,                0.55076,                 1.0564,                0.89458,                0.92245,                0.94447,                0.74671,                0.78291,                0.54663,                 1.1718,             0.00018569,             0.00018569,             0.00018569
                     74,                0.66674,                0.53101,                  1.053,                0.92822,                0.89599,                0.94411,                0.75519,                 0.7714,                0.52183,                 1.1716,              0.0001795,              0.0001795,              0.0001795
                     75,                0.65276,                0.52307,                 1.0523,                0.92622,                0.89592,                0.94924,                 0.7532,                0.78591,                0.52626,                 1.1792,             0.00017331,             0.00017331,             0.00017331
                     76,                0.65747,                0.52865,                 1.0446,                0.91761,                0.89918,                0.94781,                0.75495,                0.77027,                0.54067,                 1.1638,             0.00016713,             0.00016713,             0.00016713
                     77,                0.64835,                0.52524,                 1.0442,                0.92328,                0.88303,                0.94328,                0.74975,                0.77329,                0.55083,                 1.1674,             0.00016094,             0.00016094,             0.00016094
                     78,                0.66333,                0.53237,                 1.0585,                0.91254,                0.89822,                0.93889,                0.74242,                0.77747,                0.55584,                 1.1762,             0.00015475,             0.00015475,             0.00015475
                     79,                0.64771,                0.52135,                 1.0477,                0.91998,                0.89563,                0.94632,                 0.7498,                0.77512,                0.54539,                 1.1681,             0.00014856,             0.00014856,             0.00014856
                     80,                0.64524,                0.51561,                 1.0425,                0.93852,                0.87028,                0.94404,                0.74892,                0.78318,                0.54837,                 1.1761,             0.00014237,             0.00014237,             0.00014237
                     81,                0.65124,                0.52681,                 1.0442,                0.93101,                0.90854,                0.94948,                0.75387,                0.77297,                0.52546,                 1.1722,             0.00013619,             0.00013619,             0.00013619
                     82,                0.63964,                0.51038,                 1.0389,                0.92418,                0.90603,                0.95288,                0.75863,                0.76381,                0.51832,                 1.1688,                0.00013,                0.00013,                0.00013
                     83,                0.63639,                0.50445,                  1.047,                0.90556,                0.90323,                0.94935,                0.74482,                0.78321,                0.53684,                 1.1793,             0.00012381,             0.00012381,             0.00012381
                     84,                 0.6412,                0.50804,                 1.0419,                0.93015,                0.90193,                0.95169,                0.75235,                0.77693,                0.51944,                 1.1865,             0.00011763,             0.00011763,             0.00011763
                     85,                0.62695,                0.49492,                 1.0336,                 0.9254,                0.91502,                  0.954,                0.75907,                0.77007,                0.50696,                 1.1699,             0.00011144,             0.00011144,             0.00011144
                     86,                0.60862,                 0.4805,                 1.0188,                0.94256,                0.89354,                0.94948,                0.75022,                0.78148,                0.52369,                 1.1751,             0.00010525,             0.00010525,             0.00010525
                     87,                0.61671,                0.48507,                 1.0292,                 0.9317,                0.91264,                0.95292,                0.76194,                0.76419,                0.51602,                 1.1705,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                0.61722,                0.48853,                  1.031,                 0.9224,                0.92101,                0.95248,                0.75565,                0.77684,                 0.5068,                 1.1757,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                0.61469,                 0.5013,                 1.0301,                0.90943,                0.90509,                0.94644,                0.74937,                 0.7823,                0.52841,                 1.1862,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                0.60461,                0.47106,                  1.024,                0.92469,                0.92528,                0.95269,                0.75198,                0.77529,                 0.5167,                  1.179,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                0.48852,                0.29939,                0.97485,                0.92196,                0.90995,                0.94892,                0.75367,                0.78076,                 0.5376,                 1.1906,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                0.47075,                0.28311,                0.95734,                0.92441,                0.90666,                0.95104,                 0.7547,                0.77273,                0.52431,                 1.1838,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     93,                0.47204,                0.28275,                0.95468,                0.90647,                0.90657,                 0.9454,                0.74615,                0.78339,                 0.5451,                 1.1884,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     94,                0.46034,                0.27712,                0.95537,                0.92595,                0.90037,                0.94636,                0.75085,                0.78247,                0.53017,                 1.1961,              5.575e-05,              5.575e-05,              5.575e-05
                     95,                0.46024,                0.27865,                0.94534,                0.93119,                0.89636,                0.94867,                0.75544,                0.77598,                0.52325,                 1.1905,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     96,                0.45459,                0.26839,                0.94379,                0.92335,                0.92397,                0.94885,                0.75468,                0.76755,                0.51874,                  1.186,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     97,                0.44881,                0.26758,                0.94421,                0.92835,                 0.9103,                0.95089,                 0.7558,                0.77197,                0.52813,                  1.199,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     98,                  0.444,                0.26819,                0.93666,                0.92858,                0.90283,                0.94928,                0.75406,                0.77417,                0.52136,                  1.194,                3.1e-05,                3.1e-05,                3.1e-05
                     99,                0.43968,                0.26375,                0.93662,                0.93675,                0.90358,                0.95235,                0.75611,                0.76775,                0.51391,                  1.188,             2.4813e-05,             2.4813e-05,             2.4813e-05
                    100,                0.43818,                0.25743,                 0.9341,                0.92886,                0.90545,                0.95149,                 0.7551,                0.76791,                0.51565,                 1.1892,             1.8625e-05,             1.8625e-05,             1.8625e-05
